Step;RediscrTime/s;RANDOM-phi1-PHI-phi2;0-60-55-45;1-0-30-45;SumRediscrVolume=8e+06
507;238.138;0;1.31385e+06;6.68615e+06;
508;238.607;0;1.29959e+06;6.70041e+06;
509;239.076;0;1.28533e+06;6.71467e+06;
510;239.545;0;1.27107e+06;6.72893e+06;
511;240.014;0;1.25681e+06;6.74319e+06;
512;240.482;0;1.24463e+06;6.75537e+06;
513;240.951;0;1.23432e+06;6.76568e+06;
514;241.42;0;1.22401e+06;6.77599e+06;
515;241.889;0;1.21371e+06;6.78629e+06;
516;242.357;0;1.2034e+06;6.7966e+06;
517;242.826;0;1.19309e+06;6.80691e+06;
518;243.295;0;1.18259e+06;6.81741e+06;
519;243.764;0;1.1673e+06;6.8327e+06;
520;244.233;0;1.152e+06;6.848e+06;
521;244.701;0;1.13671e+06;6.86329e+06;
522;245.17;0;1.12141e+06;6.87859e+06;
523;245.639;0;1.10612e+06;6.89388e+06;
524;246.108;0;1.09083e+06;6.90917e+06;
525;246.576;0;1.07845e+06;6.92155e+06;
526;247.045;0;1.06844e+06;6.93156e+06;
527;247.514;0;1.05843e+06;6.94157e+06;
528;247.983;0;1.04841e+06;6.95159e+06;
529;248.452;0;1.0384e+06;6.9616e+06;
530;248.92;0;1.02839e+06;6.97161e+06;
531;249.389;0;1.0183e+06;6.9817e+06;
532;249.858;0;1.00699e+06;6.99301e+06;
533;250.327;0;995691;7.00431e+06;
534;250.795;0;984389;7.01561e+06;
535;251.264;0;973086;7.02691e+06;
536;251.733;0;961784;7.03822e+06;
537;252.202;0;950482;7.04952e+06;
538;252.67;0;938812;7.06119e+06;
539;253.139;0;926875;7.07313e+06;
540;253.608;0;914938;7.08506e+06;
541;254.077;0;903001;7.097e+06;
542;254.546;0;891063;7.10894e+06;
543;255.014;0;879126;7.12087e+06;
544;255.483;0;867400;7.1326e+06;
545;255.952;0;857786;7.14221e+06;
546;256.421;0;848172;7.15183e+06;
547;256.889;0;838559;7.16144e+06;
548;257.358;0;828945;7.17106e+06;
549;257.827;0;819331;7.18067e+06;
550;258.296;0;809717;7.19028e+06;
551;258.765;0;800104;7.1999e+06;
552;259.233;0;790490;7.20951e+06;
553;259.702;0;780876;7.21912e+06;
554;260.171;0;771597;7.2284e+06;
555;260.64;0;762913;7.23709e+06;
556;261.108;0;754228;7.24577e+06;
557;261.577;0;745544;7.25446e+06;
558;262.046;0;736860;7.26314e+06;
559;262.515;0;728175;7.27182e+06;
560;262.984;0;719491;7.28051e+06;
561;263.452;0;710806;7.28919e+06;
562;263.921;0;702122;7.29788e+06;
563;264.39;0;693437;7.30656e+06;
564;264.859;0;685232;7.31477e+06;
565;265.327;0;677309;7.32269e+06;
566;265.796;0;669385;7.33061e+06;
567;266.265;0;661462;7.33854e+06;
568;266.734;0;653538;7.34646e+06;
569;267.203;0;645615;7.35439e+06;
570;267.671;0;637691;7.36231e+06;
571;268.14;0;629768;7.37023e+06;
572;268.609;0;621844;7.37816e+06;
573;269.078;0;613921;7.38608e+06;
574;269.546;0;606609;7.39339e+06;
575;270.015;0;599365;7.40063e+06;
576;270.484;0;592122;7.40788e+06;
577;270.953;0;584878;7.41512e+06;
578;271.422;0;577635;7.42236e+06;
579;271.89;0;570392;7.42961e+06;
